Empirical Data_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.51,1.3,2.5,1.28,4.64,2,13.37,3.18,302.64,1.48,27.35,10.4,1.55,1.92,0.88,1.51,0.82,4.31,893.03,2.62,12,3.69,2.7,27.3,2.78
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.68,1.3,2.5,1.38,4.64,2,13.37,3,302.64,1.46,27.35,9.88,1.55,1.92,0.9,1.51,0.82,4.31,893.07,2.73,12,3.69,2.7,27.3,2.78
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.68,1.3,2.5,1.38,4.64,2,13.37,3.18,302.64,1.48,27.35,10.4,1.55,1.92,0.98,1.52,0.82,4.31,893.07,2.72,11.9,3.69,2.7,27.3,2.78
2.25,1.52,9.36,1.7,7.42,1.64,0.5,0.47,0.7,1.03,0.31,1.5,298.33,1.68,1.3,2.5,1.38,4.64,2,13.37,3.18,302.64,1.48,27.35,10.4,1.55,1.92,0.98,1.53,0.82,4.31,893.07,2.72,11.9,3.69,2.7,27.3,2.78
1.58,1.52,4.4,1.5,6.36,1.44,0.4,0.47,0.7,1.03,0.21,1.19,192,1.21,1.01,2.5,1.1,2.94,1.28,13.8,3.76,144.13,2.33,18.04,9.7,1.84,1.89,0.85,2.21,7.28,3.95,427.62,1.99,4.74,4.83,3.36,21.97,2.95
1.58,1.52,4.4,1.5,6.36,1.44,0.4,0.47,0.7,1.03,0.21,1.19,192,1.21,1.01,2.5,1.1,2.94,1.28,13.8,4.06,144.13,2.33,18.04,9.7,1.84,1.89,0.85,2.21,7.28,3.95,427.62,1.99,4.74,4.83,3.36,22.31,2.95
1.58,1.52,4.4,1.5,6.36,1.44,0.4,0.47,0.7,1.03,0.21,1.19,192,1.21,1.01,2.5,1.1,3.17,1.38,13.8,4.05,144.13,2.33,18.04,9.7,1.84,1.89,0.85,2.21,7.28,3.95,427.62,1.99,4.74,4.83,3.36,22.31,2.95
1.9,1.7,4.4,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.44,192,1.21,1.21,2.5,1.2,3.17,1.48,13.8,4.06,144.13,2.33,18.04,9.72,1.84,1.9,0.85,2.21,7.28,3.95,427.62,1.99,4.74,4.83,3.36,22.31,2.95
1.9,1.7,4.4,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.44,192,1.21,1.21,2.5,1.2,3.17,1.48,13.8,4.06,144.13,2.33,18.04,9.72,1.84,1.92,0.85,2.21,7.28,3.95,427.62,1.99,4.74,4.83,3.36,22.31,2.95
1.9,1.7,4.4,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.44,192,1.21,1.21,2.5,1.2,3.17,1.48,13.8,4.05,144.13,2.33,18.04,9.72,1.84,1.92,0.85,2.21,7.28,4,427.62,1.99,4.74,4.83,3.36,22.28,2.95
2.05,1.7,4.4,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.54,192,1.31,1.21,2.5,1.2,3.67,1.6,13.8,4.06,144.13,2.33,18.04,9.72,1.84,1.92,0.85,2.21,7.28,4,427.62,1.99,4.74,4.83,3.36,22.31,2.95
2.44,1.7,4.7,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.54,212,1.31,1.21,2.5,1.25,3.67,1.58,13.8,4.05,144.13,2.33,18.04,9.72,1.84,1.92,0.85,2.21,7.28,4,435.62,1.99,4.74,4.83,3.36,22.31,2.95
2.44,1.7,4.7,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.54,212,1.31,1.21,2.5,1.25,3.67,1.6,13.8,4.06,144.13,2.33,18.04,9.76,1.84,1.92,0.85,2.21,7.28,4,435.62,1.99,4.74,4.83,3.36,22.31,2.95
2.44,1.7,4.7,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.54,212,1.31,1.21,2.5,1.35,3.67,1.58,13.8,4.06,144.13,2.33,18.04,9.89,1.84,1.92,0.85,2.21,7.28,4,437.62,1.99,4.74,4.83,3.36,22.31,2.95
2.44,1.7,4.7,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.54,212,1.31,1.21,2.5,1.35,3.67,1.53,13.8,4.03,144.13,2.33,18.04,9.89,1.84,1.95,0.85,2.21,7.28,4.2,437.62,1.99,4.74,4.83,3.36,22.28,2.95
2.44,1.7,4.7,1.31,6.36,1.74,0.4,0.47,0.7,1.13,0.21,1.54,212,1.31,1.21,2.5,1.35,3.67,1.53,13.8,4.03,144.13,2.33,18.04,9.89,1.84,1.95,0.85,2.21,7.28,4.2,437.62,1.99,4.74,4.83,3.36,22.28,2.95
2.25,1.7,13,1.31,8.17,0.97,0.4,0.47,0.7,1.13,0.12,1.5,249.4,1.31,1.2,2.5,1.18,2.91,1.38,18.47,2.58,302.64,1.34,22.28,10.4,1.55,1.75,0.74,2.38,0.52,3.36,809.45,2.08,8.1,3.54,3.88,25.31,2.44
2.25,1.7,13,1.31,8.17,0.97,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.31,1.2,2.5,1.18,2.91,1.38,19.7,2.58,302.64,1.32,22.28,10.4,1.55,1.75,0.74,2.38,0.52,3.36,840.99,2.49,8.1,3.54,3.88,25.31,2.44
2.25,1.7,13,1.31,8.17,0.97,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.31,1.2,2.5,1.18,2.91,1.38,19.7,2.58,302.64,1.32,22.28,10.4,1.55,1.75,0.74,2.38,0.52,3.36,809.45,2.49,8.1,3.54,3.88,25.31,2.44
2.25,1.7,13,1.31,8.17,0.97,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.31,1.2,2.5,1.18,2.91,1.38,19.7,2.58,302.64,1.34,22.28,10.4,1.55,1.75,0.75,2.38,0.52,3.36,809.45,2.91,8.1,3.54,3.88,25.31,2.27
2.25,1.7,13,1.31,8.48,1.2,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.31,1.2,2.5,1.18,3.19,1.38,19.7,2.58,302.64,1.34,25.31,10.4,1.55,1.75,0.75,2.28,0.52,3.36,840.99,2.91,8.1,3.54,3.88,25.31,2.27
2.25,1.7,13,1.31,8.48,1.2,0.4,0.47,0.7,1.13,0.12,1.5,259.4,1.31,1.2,2.5,1.18,3.19,1.38,19.7,2.58,302.64,1.45,25.31,10.4,1.55,1.75,0.75,2.38,0.52,3.36,840.99,2.91,8.1,3.54,3.45,25.31,2.27
